compare,timestampA,timestampB,hungarian
0,2008-06-05_13-46-47,2008-06-07_15-19-18,0.9865679824561476
1,2008-06-07_15-19-18,2008-06-27_09-08-44,0.9694833882376995
2,2008-06-27_09-08-44,2008-07-08_02-41-21,0.9829839032321248
3,2008-07-08_02-41-21,2008-08-27_14-59-15,0.993189140225092
4,2008-08-27_14-59-15,2008-09-09_12-58-57,0.9944538921029927
5,2008-09-09_12-58-57,2008-09-15_10-24-22,0.9731813154088296
6,2008-09-15_10-24-22,2008-09-25_09-03-14,0.9921585376270593
7,2008-09-25_09-03-14,2008-09-25_12-51-24,0.9899974374305954
8,2008-09-25_12-51-24,2008-10-06_08-55-23,0.9623794424626777
9,2008-10-06_08-55-23,2008-10-06_09-15-39,0.9954749636675916
10,2008-10-06_09-15-39,2008-10-06_09-16-43,0.9888608138459509
11,2008-10-06_09-16-43,2008-10-14_15-16-20,0.9801608312926076
12,2008-10-14_15-16-20,2008-10-17_14-05-53,0.9634487510480533
13,2008-10-17_14-05-53,2008-10-27_14-15-26,0.986211304903662
14,2008-10-27_14-15-26,2008-10-27_22-02-54,0.9955338242252681
15,2008-10-27_22-02-54,2008-10-30_08-05-36,0.974456463087634
16,2008-10-30_08-05-36,2008-11-11_11-05-57,0.9853645578236936
17,2008-11-11_11-05-57,2008-11-14_00-35-40,0.9694555331495109
18,2008-11-14_00-35-40,2008-12-22_19-16-14,0.9801032844453621
19,2008-12-22_19-16-14,2008-12-22_20-18-56,0.9800123941334428
20,2008-12-22_20-18-56,2008-12-29_13-55-44,0.9766614638955056
21,2008-12-29_13-55-44,2008-12-31_00-31-38,0.9658700291611674
22,2008-12-31_00-31-38,2009-02-05_07-50-54,0.9696680997980562
23,2009-02-05_07-50-54,2009-02-18_19-47-35,0.9888496984867433
24,2009-02-18_19-47-35,2009-02-20_14-37-43,0.9753181736911388
25,2009-02-20_14-37-43,2009-02-24_07-20-53,0.9644836109271253
26,2009-02-24_07-20-53,2009-02-24_18-42-38,0.965735610087075
27,2009-02-24_18-42-38,2009-03-14_11-30-56,0.9833555043639064
