compare,timestampA,timestampB,hungarian
0,2008-06-05_13-46-47,2008-06-07_15-19-18,0.983378140833426
1,2008-06-07_15-19-18,2008-06-27_09-08-44,0.9690570414847164
2,2008-06-27_09-08-44,2008-07-08_02-41-21,0.9887418122270767
3,2008-07-08_02-41-21,2008-08-27_14-59-15,0.9917525245633194
4,2008-08-27_14-59-15,2008-09-09_12-58-57,0.988477415393014
5,2008-09-09_12-58-57,2008-09-15_10-24-22,0.9718660125190304
6,2008-09-15_10-24-22,2008-09-25_09-03-14,0.9837675520216527
7,2008-09-25_09-03-14,2008-09-25_12-51-24,0.9878839445248001
8,2008-09-25_12-51-24,2008-10-06_08-55-23,0.9682320903501747
9,2008-10-06_08-55-23,2008-10-06_09-15-39,0.9892781210550791
10,2008-10-06_09-15-39,2008-10-06_09-16-43,0.9883562553983127
11,2008-10-06_09-16-43,2008-10-14_15-16-20,0.9898511726795568
12,2008-10-14_15-16-20,2008-10-17_14-05-53,0.9637549926815313
13,2008-10-17_14-05-53,2008-10-27_14-15-26,0.9799078661739605
14,2008-10-27_14-15-26,2008-10-27_22-02-54,0.9892912204675196
15,2008-10-27_22-02-54,2008-10-30_08-05-36,0.9785324388516146
16,2008-10-30_08-05-36,2008-11-11_11-05-57,0.989816242343431
17,2008-11-11_11-05-57,2008-11-14_00-35-40,0.9714934930799405
18,2008-11-14_00-35-40,2008-12-22_19-16-14,0.9910101218756451
19,2008-12-22_19-16-14,2008-12-22_20-18-56,0.9806119082962221
20,2008-12-22_20-18-56,2008-12-29_13-55-44,0.983960085766121
21,2008-12-29_13-55-44,2008-12-31_00-31-38,0.9650042030866152
22,2008-12-31_00-31-38,2009-02-05_07-50-54,0.9681271352471611
23,2009-02-05_07-50-54,2009-02-18_19-47-35,0.9846828904972383
24,2009-02-18_19-47-35,2009-02-20_14-37-43,0.9712979241600658
25,2009-02-20_14-37-43,2009-02-24_07-20-53,0.958351737485845
26,2009-02-24_07-20-53,2009-02-24_18-42-38,0.9634923075678002
27,2009-02-24_18-42-38,2009-03-14_11-30-56,0.9818277310924347
28,2009-03-14_11-30-56,2009-08-01_01-40-34,0.9604880413703941
29,2009-08-01_01-40-34,2009-09-14_16-00-24,0.9839043383347178
30,2009-09-14_16-00-24,2009-09-16_10-00-56,0.9670733678086602
31,2009-09-16_10-00-56,2009-09-17_09-29-59,0.970140006437076
32,2009-09-17_09-29-59,2009-09-26_09-37-45,0.9858645256134803
33,2009-09-26_09-37-45,2009-10-08_16-56-33,0.959577546990298
34,2009-10-08_16-56-33,2009-10-17_14-45-31,0.9827229191151168
35,2009-10-17_14-45-31,2009-10-28_20-12-54,0.9540638811397041
