compare,timestampA,timestampB,hungarian
0,2008-06-05_13-46-47,2008-06-07_15-19-18,0.8528609104460472
1,2008-06-07_15-19-18,2008-06-27_09-08-44,0.8480260112544401
2,2008-06-27_09-08-44,2008-07-08_02-41-21,0.8493122270742371
3,2008-07-08_02-41-21,2008-08-27_14-59-15,0.8466593886462878
4,2008-08-27_14-59-15,2008-09-09_12-58-57,0.8548922383434281
5,2008-09-09_12-58-57,2008-09-15_10-24-22,0.853777802615399
6,2008-09-15_10-24-22,2008-09-25_09-03-14,0.8552587459483603
7,2008-09-25_09-03-14,2008-09-25_12-51-24,0.8539789873700668
8,2008-09-25_12-51-24,2008-10-06_08-55-23,0.8507864873154309
9,2008-10-06_08-55-23,2008-10-06_09-15-39,0.852002366034266
10,2008-10-06_09-15-39,2008-10-06_09-16-43,0.8480925115800332
11,2008-10-06_09-16-43,2008-10-14_15-16-20,0.8507730742837561
12,2008-10-14_15-16-20,2008-10-17_14-05-53,0.8509017210733938
13,2008-10-17_14-05-53,2008-10-27_14-15-26,0.8549312980400211
14,2008-10-27_14-15-26,2008-10-27_22-02-54,0.8558479768942155
15,2008-10-27_22-02-54,2008-10-30_08-05-36,0.8531379059033124
16,2008-10-30_08-05-36,2008-11-11_11-05-57,0.8564610112323081
17,2008-11-11_11-05-57,2008-11-14_00-35-40,0.8518034192614832
18,2008-11-14_00-35-40,2008-12-22_19-16-14,0.8528561079659805
19,2008-12-22_19-16-14,2008-12-22_20-18-56,0.8521946513746725
20,2008-12-22_20-18-56,2008-12-29_13-55-44,0.8518657115364047
21,2008-12-29_13-55-44,2008-12-31_00-31-38,0.8486896507855751
22,2008-12-31_00-31-38,2009-02-05_07-50-54,0.8461062327552727
23,2009-02-05_07-50-54,2009-02-18_19-47-35,0.8501872659176024
24,2009-02-18_19-47-35,2009-02-20_14-37-43,0.847763453207369
25,2009-02-20_14-37-43,2009-02-24_07-20-53,0.8460498686986975
26,2009-02-24_07-20-53,2009-02-24_18-42-38,0.8473701773750533
27,2009-02-24_18-42-38,2009-03-14_11-30-56,0.8495644599303116
28,2009-03-14_11-30-56,2009-08-01_01-40-34,0.8468006479700304
29,2009-08-01_01-40-34,2009-08-25_14-52-08,-1.0
30,2009-08-25_14-52-08,2009-09-14_16-00-24,-1.0
31,2009-09-14_16-00-24,2009-09-16_10-00-56,0.8467907408362103
32,2009-09-16_10-00-56,2009-09-17_09-29-59,0.84909962070332
33,2009-09-17_09-29-59,2009-09-26_09-37-45,0.8501065277100387
34,2009-09-26_09-37-45,2009-10-08_16-56-33,0.8423038216907834
35,2009-10-08_16-56-33,2009-10-17_14-45-31,0.8389972089610683
36,2009-10-17_14-45-31,2009-10-28_20-12-54,0.8456654284099177
37,2009-10-28_20-12-54,2009-10-28_20-49-18,0.8434426229508195
38,2009-10-28_20-49-18,2009-10-28_20-56-34,0.843589869441445
39,2009-10-28_20-56-34,2009-11-09_15-35-16,0.843365314092018
40,2009-11-09_15-35-16,2009-11-09_15-35-26,0.8466013836303445
41,2009-11-09_15-35-26,2009-11-09_15-37-37,0.8406927551560041
42,2009-11-09_15-37-37,2009-11-19_17-57-37,0.8466713672953761
43,2009-11-19_17-57-37,2009-11-19_18-03-00,0.8438616644262489
44,2009-11-19_18-03-00,2009-11-19_18-21-10,0.8414877561949344
45,2009-11-19_18-21-10,2009-11-19_18-23-41,0.842100379463089
46,2009-11-19_18-23-41,2009-11-19_18-57-32,0.8421101468527046
47,2009-11-19_18-57-32,2009-11-19_22-36-07,0.8373523704573251
48,2009-11-19_22-36-07,2009-11-22_03-17-46,0.8445951796796146
49,2009-11-22_03-17-46,2009-11-22_23-54-40,0.83689307317261
50,2009-11-22_23-54-40,2010-02-16_15-11-07,0.8383952713324555
51,2010-02-16_15-11-07,2010-03-12_14-47-15,0.8403010559207519
52,2010-03-12_14-47-15,2010-03-12_17-06-35,0.8375293043456788
53,2010-03-12_17-06-35,2010-03-13_00-31-36,0.8433515482695826
54,2010-03-13_00-31-36,2010-04-02_09-19-24,0.8415967454869074
55,2010-04-02_09-19-24,2010-04-02_10-29-00,0.8433941194700934
56,2010-04-02_10-29-00,2010-04-12_16-38-37,0.8396394396645332
57,2010-04-12_16-38-37,2010-04-14_15-34-22,0.8342256526587001
58,2010-04-14_15-34-22,2010-04-29_17-17-18,0.8404738264250161
59,2010-04-29_17-17-18,2010-06-13_10-57-58,0.8409384805320977
60,2010-06-13_10-57-58,2010-09-14_14-36-00,0.8395450063728029
61,2010-09-14_14-36-00,2010-09-15_12-31-22,0.8420855106888349
62,2010-09-15_12-31-22,2010-09-17_13-06-58,0.8397762867768825
63,2010-09-17_13-06-58,2010-09-17_16-13-17,0.839526865700147
64,2010-09-17_16-13-17,2010-11-10_19-44-37,0.8394412851590137
65,2010-11-10_19-44-37,2010-11-24_23-02-11,0.8402660332541556
66,2010-11-24_23-02-11,2011-02-24_08-24-43,0.8378194774346795
67,2011-02-24_08-24-43,2011-03-03_18-22-47,0.8432648125755741
