compare,timestampA,timestampB,hungarian
0,2008-06-05_13-46-47,2008-06-07_15-19-18,0.8491629400298119
1,2008-06-07_15-19-18,2008-06-27_09-08-44,0.8436870841629162
2,2008-06-27_09-08-44,2008-07-08_02-41-21,0.8444814410480359
3,2008-07-08_02-41-21,2008-08-27_14-59-15,0.842532751091702
4,2008-08-27_14-59-15,2008-09-09_12-58-57,0.8493083532891957
5,2008-09-09_12-58-57,2008-09-15_10-24-22,0.8491393763272587
6,2008-09-15_10-24-22,2008-09-25_09-03-14,0.8501676539622196
7,2008-09-25_09-03-14,2008-09-25_12-51-24,0.8494355649938516
8,2008-09-25_12-51-24,2008-10-06_08-55-23,0.8460270341322388
9,2008-10-06_08-55-23,2008-10-06_09-15-39,0.8461913420672164
10,2008-10-06_09-15-39,2008-10-06_09-16-43,0.8419379396122875
11,2008-10-06_09-16-43,2008-10-14_15-16-20,0.8447525304511947
12,2008-10-14_15-16-20,2008-10-17_14-05-53,0.8462955737633848
13,2008-10-17_14-05-53,2008-10-27_14-15-26,0.8495854098874619
14,2008-10-27_14-15-26,2008-10-27_22-02-54,0.8487380894539376
15,2008-10-27_22-02-54,2008-10-30_08-05-36,0.8481172564580133
16,2008-10-30_08-05-36,2008-11-11_11-05-57,0.8498286505010757
17,2008-11-11_11-05-57,2008-11-14_00-35-40,0.846631652285761
18,2008-11-14_00-35-40,2008-12-22_19-16-14,0.8478066056719696
19,2008-12-22_19-16-14,2008-12-22_20-18-56,0.8465834181896151
20,2008-12-22_20-18-56,2008-12-29_13-55-44,0.8473591361060628
21,2008-12-29_13-55-44,2008-12-31_00-31-38,0.8439878718486966
22,2008-12-31_00-31-38,2009-02-05_07-50-54,0.8416003105361987
23,2009-02-05_07-50-54,2009-02-18_19-47-35,0.8447266547068243
24,2009-02-18_19-47-35,2009-02-20_14-37-43,0.8436452842006364
25,2009-02-20_14-37-43,2009-02-24_07-20-53,0.8412621434357074
26,2009-02-24_07-20-53,2009-02-24_18-42-38,0.8414354288061181
27,2009-02-24_18-42-38,2009-03-14_11-30-56,0.8456036072965754
28,2009-03-14_11-30-56,2009-08-01_01-40-34,0.8424977219803571
29,2009-08-01_01-40-34,2009-08-25_14-52-08,-1.0
30,2009-08-25_14-52-08,2009-09-14_16-00-24,-1.0
31,2009-09-14_16-00-24,2009-09-16_10-00-56,0.8422848894158872
32,2009-09-16_10-00-56,2009-09-17_09-29-59,0.8456977875218075
33,2009-09-17_09-29-59,2009-09-26_09-37-45,0.8459070256949954
34,2009-09-26_09-37-45,2009-10-08_16-56-33,0.8384618054006323
35,2009-10-08_16-56-33,2009-10-17_14-45-31,0.8365383185353736
36,2009-10-17_14-45-31,2009-10-28_20-12-54,0.8409159735120736
37,2009-10-28_20-12-54,2009-10-28_20-49-18,0.8387258270344553
38,2009-10-28_20-49-18,2009-10-28_20-56-34,0.8385442230293519
